"trip_id","start_time","end_time","start_station_id","end_station_id","trip_route_category","passholder_type"
"4148706","6/30/15 8:50","6/30/15 8:57","3025","3007","One Way","Indego30"
"4148707","6/30/15 8:50","6/30/15 8:54","3029","3029","Round Trip","Indego30"
"4148708","6/30/15 8:51","6/30/15 9:06","3046","3062","One Way","Indego30"
"4148709","6/30/15 8:51","6/30/15 9:00","3010","3061","One Way","Indego30"
"4148710","6/30/15 8:51","6/30/15 9:01","3010","3047","One Way","Indego30"
"4148711","6/30/15 8:51","6/30/15 9:00","3004","3054","One Way","Walk-up"
"4148712","6/30/15 8:51","6/30/15 9:00","3023","3052","One Way","Indego30"
"4148713","6/30/15 8:51","6/30/15 9:00","3025","3010","One Way","Indego30"
"4148714","6/30/15 8:52","6/30/15 9:00","3025","3018","One Way","Indego30"
"4148715","6/30/15 8:52","6/30/15 9:15","3074","3021","One Way","Indego30"
"4148716","6/30/15 8:52","6/30/15 9:02","3022","3006","One Way","Indego30"
"4148717","6/30/15 8:53","6/30/15 8:58","3030","3028","One Way","Indego30"
"4148719","6/30/15 8:54","6/30/15 9:23","3032","3057","One Way","Walk-up"
"4148720","6/30/15 8:54","6/30/15 9:04","3032","3045","One Way","IndegoFlex"
"4148722","6/30/15 8:54","6/30/15 9:07","3047","3037","One Way","Walk-up"
"4148725","6/30/15 8:54","6/30/15 9:04","3029","3078","One Way","Indego30"
"4148726","6/30/15 8:54","6/30/15 9:16","3053","3037","One Way","Indego30"
"4148727","6/30/15 8:55","6/30/15 9:23","3032","3057","One Way","Walk-up"
"4148728","6/30/15 8:55","6/30/15 9:16","3053","3037","One Way","Indego30"
"4148729","6/30/15 8:56","6/30/15 9:02","3061","3054","One Way","Indego30"
"4148733","6/30/15 8:57","6/30/15 9:03","3007","3050","One Way","Indego30"
"4148734","6/30/15 8:58","6/30/15 9:04","3012","3020","One Way","Indego30"
"4148735","6/30/15 8:58","6/30/15 9:11","3032","3004","One Way","Indego30"
"4148736","6/30/15 8:59","6/30/15 9:10","3063","3022","One Way","Indego30"
"4148737","6/30/15 8:59","6/30/15 9:07","3059","3021","One Way","Indego30"
"4148738","6/30/15 8:59","6/30/15 9:08","3028","3010","One Way","Indego30"
"4148739","6/30/15 8:59","6/30/15 9:09","3063","3046","One Way","Indego30"
"4148740","6/30/15 8:59","6/30/15 9:10","3024","3020","One Way","Indego30"
"4148741","6/30/15 9:01","6/30/15 9:14","3066","3028","One Way","Indego30"
"4148742","6/30/15 9:02","6/30/15 9:03","3039","3039","Round Trip","Indego30"
"4148743","6/30/15 9:02","6/30/15 9:09","3025","3045","One Way","Indego30"
"4148744","6/30/15 9:02","6/30/15 9:09","3025","3045","One Way","Indego30"
"4148745","6/30/15 9:03","6/30/15 9:05","3039","3039","Round Trip","Indego30"
"4148746","6/30/15 9:03","6/30/15 9:16","3023","3029","One Way","Indego30"
"4148747","6/30/15 9:03","6/30/15 9:10","3025","3045","One Way","Indego30"
"4148748","6/30/15 9:03","6/30/15 9:12","3005","3050","One Way","Walk-up"
"4148749","6/30/15 9:04","6/30/15 9:10","3007","3004","One Way","Indego30"
"4148750","6/30/15 9:06","6/30/15 9:15","3068","3045","One Way","Indego30"
"4148752","6/30/15 9:06","6/30/15 9:07","3036","3036","Round Trip","Indego30"
"4148753","6/30/15 9:06","6/30/15 9:19","3034","3018","One Way","Indego30"
"4148754","6/30/15 9:07","6/30/15 9:49","3018","3021","One Way","Indego30"
"4148755","6/30/15 9:07","6/30/15 9:19","3039","3021","One Way","Indego30"
"4148756","6/30/15 9:07","6/30/15 9:23","3036","3052","One Way","Indego30"
"4148757","6/30/15 9:07","6/30/15 10:45","3015","3015","Round Trip","Indego30"
"4148758","6/30/15 9:09","6/30/15 9:16","3059","3037","One Way","Indego30"
"4148759","6/30/15 9:11","6/30/15 9:26","3028","3063","One Way","Indego30"
"4148760","6/30/15 9:11","6/30/15 9:29","3041","3021","One Way","Indego30"
"4148761","6/30/15 9:14","6/30/15 9:25","3022","3057","One Way","Indego30"
"4148762","6/30/15 9:14","6/30/15 9:23","3010","3022","One Way","Indego30"
"4148763","6/30/15 9:15","6/30/15 9:25","3069","3050","One Way","Indego30"
"4148764","6/30/15 9:15","6/30/15 9:23","3071","3029","One Way","Indego30"
"4148765","6/30/15 9:15","6/30/15 9:31","3068","3078","One Way","Indego30"
"4148766","6/30/15 9:15","6/30/15 9:24","3047","3050","One Way","Indego30"
"4148767","6/30/15 9:17","6/30/15 9:26","3010","3021","One Way","Indego30"
"4148768","6/30/15 9:19","6/30/15 9:39","3032","3037","One Way","Indego30"
"4148769","6/30/15 9:19","6/30/15 9:30","3062","3004","One Way","Indego30"
"4148770","6/30/15 9:20","6/30/15 9:29","3012","3022","One Way","Indego30"
"4148772","6/30/15 9:21","6/30/15 9:31","3032","3045","One Way","Indego30"
"4148773","6/30/15 9:21","6/30/15 9:34","3059","3005","One Way","Indego30"
"4148774","6/30/15 9:21","6/30/15 9:56","3054","3073","One Way","Indego30"
"4148775","6/30/15 9:23","6/30/15 9:37","3062","3037","One Way","Indego30"
"4148776","6/30/15 9:25","6/30/15 9:54","3041","3037","One Way","Indego30"
"4148778","6/30/15 9:27","6/30/15 9:36","3054","3078","One Way","Indego30"
"4148779","6/30/15 9:27","6/30/15 9:39","3006","3066","One Way","Indego30"
"4148780","6/30/15 9:28","6/30/15 9:58","3031","3057","One Way","Indego30"
"4148781","6/30/15 9:28","6/30/15 9:34","3021","3078","One Way","Indego30"
"4148782","6/30/15 9:29","6/30/15 9:43","3043","3060","One Way","Indego30"
"4148783","6/30/15 9:29","6/30/15 9:36","3051","3075","One Way","Indego30"
"4148785","6/30/15 9:30","6/30/15 10:07","3012","3000","One Way","Indego30"
"4148786","6/30/15 9:30","6/30/15 9:47","3019","3004","One Way","IndegoFlex"
"4148788","6/30/15 9:31","6/30/15 9:54","3020","3058","One Way","Indego30"
"4148790","6/30/15 9:31","6/30/15 9:40","3074","3020","One Way","Indego30"
"4148792","6/30/15 9:31","6/30/15 9:45","3045","3068","One Way","Indego30"
"4148794","6/30/15 9:32","6/30/15 9:46","3032","3037","One Way","Indego30"
"4148797","6/30/15 9:33","6/30/15 9:54","3057","3032","One Way","Walk-up"
"4148799","6/30/15 9:34","6/30/15 9:54","3057","3032","One Way","Walk-up"
"4148801","6/30/15 9:34","6/30/15 9:47","3058","3023","One Way","Indego30"
"4148802","6/30/15 9:34","6/30/15 9:47","3036","3037","One Way","Indego30"
"4148804","6/30/15 9:36","6/30/15 9:46","3066","3004","One Way","Indego30"
"4148805","6/30/15 9:36","6/30/15 10:07","3029","3037","One Way","Walk-up"
"4148806","6/30/15 9:36","6/30/15 9:56","3078","3073","One Way","Indego30"
"4148807","6/30/15 9:36","6/30/15 9:50","3007","3078","One Way","Indego30"
"4148808","6/30/15 9:37","6/30/15 9:46","3063","3022","One Way","Indego30"
"4148809","6/30/15 9:37","6/30/15 9:55","3031","3061","One Way","Indego30"
"4148810","6/30/15 9:37","6/30/15 9:50","3007","3078","One Way","Walk-up"
"4148811","6/30/15 9:38","6/30/15 9:53","3074","3023","One Way","Walk-up"
"4148812","6/30/15 9:38","6/30/15 9:54","3036","3021","One Way","Indego30"
"4148816","6/30/15 9:40","6/30/15 9:48","3069","3015","One Way","Indego30"
"4148819","6/30/15 9:41","6/30/15 9:57","3075","3023","One Way","Indego30"
"4148820","6/30/15 9:41","6/30/15 9:58","3012","3005","One Way","Indego30"
"4148821","6/30/15 9:41","6/30/15 10:28","3051","3030","One Way","Walk-up"
"4148822","6/30/15 9:43","6/30/15 10:28","3051","3030","One Way","Walk-up"
"4148823","6/30/15 9:43","6/30/15 9:59","3015","3021","One Way","Indego30"
"4148824","6/30/15 9:43","6/30/15 9:51","3023","3020","One Way","Indego30"
"4148825","6/30/15 9:44","6/30/15 9:54","3045","3032","One Way","Walk-up"
"4148826","6/30/15 9:44","6/30/15 10:46","3018","3009","One Way","Indego30"
"4148827","6/30/15 9:45","6/30/15 9:49","3062","3078","One Way","Indego30"
"4148828","6/30/15 9:45","6/30/15 9:56","3023","3037","One Way","Indego30"
"4148829","6/30/15 9:47","6/30/15 9:57","3054","3078","One Way","Indego30"
"4148830","6/30/15 9:47","6/30/15 9:59","3068","3062","One Way","Indego30"
"4148831","6/30/15 9:48","6/30/15 10:01","3059","3031","One Way","Indego30"
"4148833","6/30/15 9:48","6/30/15 10:02","3075","3060","One Way","Indego30"
"4148832","6/30/15 9:48","6/30/15 9:55","3063","3021","One Way","Indego30"
"4148834","6/30/15 9:48","6/30/15 10:02","3075","3060","One Way","Indego30"
"4148835","6/30/15 9:50","6/30/15 10:41","3074","3009","One Way","Walk-up"
"4148836","6/30/15 9:50","6/30/15 10:10","3029","3037","One Way","IndegoFlex"
"4148837","6/30/15 9:52","6/30/15 11:39","3070","3000","One Way","Indego30"
"4148838","6/30/15 9:53","6/30/15 9:59","3022","3032","One Way","Indego30"
"4148839","6/30/15 9:54","6/30/15 10:19","3025","3029","One Way","Indego30"
"4148840","6/30/15 9:54","6/30/15 10:04","3045","3032","One Way","Indego30"
"4148841","6/30/15 9:56","6/30/15 10:14","3033","3022","One Way","Indego30"
"4148842","6/30/15 9:56","6/30/15 10:19","3022","3056","One Way","Indego30"
"4148843","6/30/15 9:57","6/30/15 10:05","3059","3037","One Way","Indego30"
"4148844","6/30/15 9:58","6/30/15 10:07","3074","3020","One Way","Indego30"
"4148845","6/30/15 9:58","6/30/15 10:06","3018","3060","One Way","Indego30"
"4148846","6/30/15 10:00","6/30/15 10:10","3019","3045","One Way","Indego30"
"4148847","6/30/15 10:02","6/30/15 10:09","3063","3012","One Way","Indego30"
"4148848","6/30/15 10:03","6/30/15 10:21","3039","3061","One Way","Indego30"
"4148849","6/30/15 10:04","6/30/15 10:49","3022","3074","One Way","Indego30"
"4148850","6/30/15 10:04","6/30/15 10:15","3039","3031","One Way","Indego30"
"4148851","6/30/15 10:05","6/30/15 10:24","3034","3020","One Way","Indego30"
"4148852","6/30/15 10:07","6/30/15 10:25","3024","3062","One Way","Indego30"
"4148853","6/30/15 10:07","6/30/15 10:12","3006","3020","One Way","Indego30"
"4148854","6/30/15 10:07","6/30/15 10:23","3086","3059","One Way","Indego30"
"4148855","6/30/15 10:08","6/30/15 10:13","3018","3007","One Way","Indego30"
"4148856","6/30/15 10:08","6/30/15 10:17","3038","3024","One Way","Indego30"
"4148857","6/30/15 10:10","6/30/15 10:20","3062","3074","One Way","Indego30"
"4148858","6/30/15 10:10","6/30/15 10:22","3075","3031","One Way","Indego30"
"4148859","6/30/15 10:10","6/30/15 10:33","3004","3019","One Way","IndegoFlex"
"4148862","6/30/15 10:11","6/30/15 10:17","3028","3047","One Way","Indego30"
"4148863","6/30/15 10:12","6/30/15 10:31","3022","3004","One Way","Walk-up"
"4148866","6/30/15 10:13","6/30/15 10:27","3022","3004","One Way","Indego30"
"4148868","6/30/15 10:15","6/30/15 10:36","3034","3006","One Way","Indego30"
"4148870","6/30/15 10:15","6/30/15 10:28","3086","3038","One Way","Indego30"
"4148871","6/30/15 10:16","6/30/15 10:22","3007","3047","One Way","Indego30"
"4148873","6/30/15 10:17","6/30/15 10:21","3046","3055","One Way","Indego30"
"4148875","6/30/15 10:18","6/30/15 10:25","3071","3022","One Way","Indego30"
"4148876","6/30/15 10:18","6/30/15 10:49","3072","3021","One Way","Indego30"
"4148879","6/30/15 10:20","6/30/15 10:24","3015","3052","One Way","Indego30"
"4148881","6/30/15 10:21","6/30/15 10:39","3058","3033","One Way","Indego30"
"4148883","6/30/15 10:22","6/30/15 10:32","3069","3010","One Way","Indego30"
"4148884","6/30/15 10:23","6/30/15 10:28","3055","3004","One Way","Indego30"
"4148885","6/30/15 10:23","6/30/15 10:36","3073","3036","One Way","Walk-up"
"4148886","6/30/15 10:25","6/30/15 10:28","3034","3068","One Way","Indego30"
"4148887","6/30/15 10:27","6/30/15 10:52","3031","3010","One Way","Indego30"
"4148888","6/30/15 10:29","6/30/15 10:38","3064","3063","One Way","Indego30"
"4148889","6/30/15 10:29","6/30/15 10:41","3027","3009","One Way","Indego30"
"4148890","6/30/15 10:29","6/30/15 10:42","3027","3061","One Way","Indego30"
"4148891","6/30/15 10:30","6/30/15 10:38","3059","3057","One Way","Indego30"
