Station ID,Station Name
3000,Virtual Station
3004,Municipal Services Building Plaza
3005,Welcome Park  NPS
3006,40th & Spruce
3007,11th & Pine  Kahn Park
3008,Temple University Station
3009,33rd & Market
3010,15th & Spruce
3011,38th & Lancaster
3012,21st & Catharine
3013,6th & Fairmount
3014,21st & Winter  Franklin Institute
3015,4th & Walnut  NPS
3016,11th & Poplar  John F. Street Community Center
3017,6th & Berks
3018,12th & Filbert
3019,6th & Race
3020,University City Station
3021,18th & JFK
3022,Amtrak 30th Street Station
3023,Rittenhouse Square
3024,43rd & Chester  Clark Park
3025,11th & Washington
3026,2nd & South
3027,40th Street Station  MFL
3028,4th & Bainbridge
3029,36th & Sansom
3030,Darien & Catharine
3031,13th & Montgomery
3032,23rd & South
3033,10th & Chestnut
3034,11th & Reed
3035,Dornsife Center
3036,2nd & Germantown
3037,Pennsylvania Convention Center
3038,The Children's Hospital of Philadelphia (CHOP)
3039,Broad & Girard
3040,17th & Spring Garden  Community College of Philadelphia
3041,Girard Station  MFL
3043,18th & Fernon  Aquinas Center
3045,13th & Locust
3046,2nd & Market
3047,Independence Mall  NPS
3048,Broad & Fitzwater
3049,Foglietta Plaza
3050,9th & Arch
3051,23rd & Fairmount
3052,9th & Locust
3053,Point Breeze & Tasker
3054,Rodin Museum
3055,8th & Market
3056,Broad & Oxford
3057,Philadelphia Museum of Art
3058,20th & Fairmount
3059,Spring Garden Station  BSL
3060,Free Library of Philadelphia - Central Library
3061,23rd & Market
3062,24th & Sansom
3063,17th & Pine
3064,18th & Washington  Chew Playground
3065,Girard & Hutchinson
3066,19th & Lombard
3067,39th & Mt. Vernon  Mantua Haverford Community Center
3068,Broad & Federal
3069,4th & Christian
3070,Spring Garden Station  MFL
3071,32nd & Baring  Drexel Park
3072,Front & Carpenter
3073,9th & Spring Garden
3074,44th & Walnut
3075,Fairmount & Ridge
3077,17th & Girard
3078,19th & Market
3086,Broad & Christian
3088,3rd & Girard
